transaction_id,agent_id,area,timestamp,type,amount,status,opening_balance,current_balance,event_flags,case_status,is_ground_truth_anomaly,anomaly_type
BK-TXN-100001,AGENT-001,"Gulshan, Dhaka",2024-07-17T22:30:56Z,cash_out,15000,SUCCESS,120000,135000,,NONE,false,
BK-TXN-100002,AGENT-001,"Gulshan, Dhaka",2024-07-17T10:15:54Z,cash_in,5000,SUCCESS,135000,130000,,NONE,false,
BK-TXN-100003,AGENT-002,"Motijheel, Dhaka",2024-07-17T21:45:51Z,cash_out,8000,SUCCESS,250000,258000,,NONE,false,
BK-TXN-100004,AGENT-002,"Motijheel, Dhaka",2024-07-17T11:15:03Z,cash_in,15000,SUCCESS,258000,243000,,NONE,false,
BK-TXN-100005,AGENT-002,"Motijheel, Dhaka",2024-07-17T19:30:35Z,cash_out,10000,SUCCESS,243000,253000,,NONE,false,
BK-TXN-100006,AGENT-002,"Motijheel, Dhaka",2024-07-17T18:15:43Z,cash_out,5000,SUCCESS,253000,258000,,NONE,false,
BK-TXN-100007,AGENT-003,"Dhanmondi, Dhaka",2024-07-17T15:00:23Z,cash_out,5000,SUCCESS,150000,155000,,NONE,false,
BK-TXN-100008,AGENT-003,"Dhanmondi, Dhaka",2024-07-17T17:00:31Z,cash_in,1000,SUCCESS,155000,154000,,NONE,false,
BK-TXN-100009,AGENT-003,"Dhanmondi, Dhaka",2024-07-17T11:30:08Z,cash_in,1500,SUCCESS,154000,152500,,NONE,false,
BK-TXN-100010,AGENT-003,"Dhanmondi, Dhaka",2024-07-17T11:00:55Z,cash_in,2000,SUCCESS,152500,150500,,NONE,false,
BK-TXN-100011,AGENT-004,"Mirpur, Dhaka",2024-07-17T16:45:15Z,cash_out,25000,SUCCESS,180000,205000,,NONE,false,
BK-TXN-100012,AGENT-005,"Sreepur, Gazipur",2024-07-17T18:30:50Z,cash_out,2000,SUCCESS,90000,92000,,NONE,false,
BK-TXN-100013,AGENT-005,"Sreepur, Gazipur",2024-07-17T12:00:42Z,cash_out,10000,SUCCESS,92000,102000,,NONE,false,
BK-TXN-100014,AGENT-006,"Sadar, Mymensingh",2024-07-17T21:45:53Z,cash_in,1500,SUCCESS,100000,98500,,NONE,false,
BK-TXN-100015,AGENT-001,"Gulshan, Dhaka",2024-07-18T21:30:48Z,cash_in,2000,SUCCESS,130000,128000,,NONE,false,
BK-TXN-100016,AGENT-001,"Gulshan, Dhaka",2024-07-18T12:45:56Z,cash_out,10000,SUCCESS,128000,138000,,NONE,false,
BK-TXN-100017,AGENT-002,"Motijheel, Dhaka",2024-07-18T17:00:50Z,cash_out,500,SUCCESS,258000,258500,,NONE,false,
BK-TXN-100018,AGENT-002,"Motijheel, Dhaka",2024-07-18T21:00:05Z,cash_out,25000,SUCCESS,258500,283500,,NONE,false,
BK-TXN-100019,AGENT-002,"Motijheel, Dhaka",2024-07-18T10:30:09Z,cash_out,10000,SUCCESS,283500,293500,,NONE,false,
BK-TXN-100020,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T17:00:42Z,cash_out,3000,SUCCESS,150500,153500,,NONE,false,
BK-TXN-100021,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T12:15:23Z,cash_out,8000,SUCCESS,153500,161500,,NONE,false,
BK-TXN-100022,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T08:15:42Z,cash_out,25000,SUCCESS,161500,186500,,NONE,false,
BK-TXN-100023,AGENT-004,"Mirpur, Dhaka",2024-07-18T15:00:08Z,cash_out,8000,SUCCESS,205000,213000,,NONE,false,
BK-TXN-100024,AGENT-004,"Mirpur, Dhaka",2024-07-18T14:30:54Z,cash_out,15000,SUCCESS,213000,228000,,NONE,false,
BK-TXN-100025,AGENT-005,"Sreepur, Gazipur",2024-07-18T15:15:33Z,cash_in,3000,SUCCESS,102000,99000,,NONE,false,
BK-TXN-100026,AGENT-006,"Sadar, Mymensingh",2024-07-18T22:00:25Z,cash_in,20000,SUCCESS,98500,78500,,NONE,false,
BK-TXN-100027,AGENT-007,"Sadar, Tangail",2024-07-18T15:00:28Z,cash_out,1500,SUCCESS,85000,86500,,NONE,false,
BK-TXN-100028,AGENT-008,"Chowrasta, Gazipur",2024-07-18T18:45:22Z,cash_out,15000,SUCCESS,140000,155000,,NONE,false,
BK-TXN-100029,AGENT-001,"Gulshan, Dhaka",2024-07-19T13:30:17Z,cash_in,10000,SUCCESS,138000,128000,,NONE,false,
BK-TXN-100030,AGENT-001,"Gulshan, Dhaka",2024-07-19T08:45:04Z,cash_out,20000,SUCCESS,128000,148000,,NONE,false,
BK-TXN-100031,AGENT-002,"Motijheel, Dhaka",2024-07-19T11:00:58Z,cash_out,15000,SUCCESS,293500,308500,,NONE,false,
BK-TXN-100032,AGENT-002,"Motijheel, Dhaka",2024-07-19T13:45:25Z,cash_out,2000,SUCCESS,308500,310500,,NONE,false,
BK-TXN-100033,AGENT-002,"Motijheel, Dhaka",2024-07-19T19:30:01Z,cash_in,25000,SUCCESS,310500,285500,,NONE,false,
BK-TXN-100034,AGENT-002,"Motijheel, Dhaka",2024-07-19T13:00:51Z,cash_out,25000,SUCCESS,285500,310500,,NONE,false,
BK-TXN-100035,AGENT-003,"Dhanmondi, Dhaka",2024-07-19T17:15:19Z,cash_in,8000,SUCCESS,186500,178500,,NONE,false,
