entry_id,agent_id,timestamp,type,amount,opening_cash,current_cash,provider_ref,provider_txn_id
DRW-TXN-500001,AGENT-001,2024-07-17T22:30:56Z,cash_out,-15000,150000,135000,bkash,BK-TXN-100001
DRW-TXN-500002,AGENT-001,2024-07-17T10:15:54Z,cash_in,5000,135000,140000,bkash,BK-TXN-100002
DRW-TXN-500003,AGENT-002,2024-07-17T21:45:51Z,cash_out,-8000,300000,292000,bkash,BK-TXN-100003
DRW-TXN-500004,AGENT-002,2024-07-17T11:15:03Z,cash_in,15000,292000,307000,bkash,BK-TXN-100004
DRW-TXN-500005,AGENT-002,2024-07-17T19:30:35Z,cash_out,-10000,307000,297000,bkash,BK-TXN-100005
DRW-TXN-500006,AGENT-002,2024-07-17T18:15:43Z,cash_out,-5000,297000,292000,bkash,BK-TXN-100006
DRW-TXN-500007,AGENT-002,2024-07-17T13:15:53Z,cash_out,-10000,292000,282000,nagad,NA-TXN-200001
DRW-TXN-500008,AGENT-003,2024-07-17T15:00:23Z,cash_out,-5000,180000,175000,bkash,BK-TXN-100007
DRW-TXN-500009,AGENT-003,2024-07-17T17:00:31Z,cash_in,1000,175000,176000,bkash,BK-TXN-100008
DRW-TXN-500010,AGENT-003,2024-07-17T09:15:12Z,cash_out,-25000,176000,151000,nagad,NA-TXN-200002
DRW-TXN-500011,AGENT-003,2024-07-17T11:30:08Z,cash_in,1500,151000,152500,bkash,BK-TXN-100009
DRW-TXN-500012,AGENT-003,2024-07-17T11:00:55Z,cash_in,2000,152500,154500,bkash,BK-TXN-100010
DRW-TXN-500013,AGENT-004,2024-07-17T16:45:15Z,cash_out,-25000,200000,175000,bkash,BK-TXN-100011
DRW-TXN-500014,AGENT-004,2024-07-17T12:15:16Z,cash_in,15000,175000,190000,nagad,NA-TXN-200003
DRW-TXN-500015,AGENT-005,2024-07-17T18:30:50Z,cash_out,-2000,120000,118000,bkash,BK-TXN-100012
DRW-TXN-500016,AGENT-005,2024-07-17T12:00:42Z,cash_out,-10000,118000,108000,bkash,BK-TXN-100013
DRW-TXN-500017,AGENT-006,2024-07-17T08:30:55Z,cash_out,-1500,130000,128500,nagad,NA-TXN-200004
DRW-TXN-500018,AGENT-006,2024-07-17T17:00:07Z,cash_out,-500,128500,128000,nagad,NA-TXN-200005
