transaction_id,agent_id,area,timestamp,type,amount,status,opening_balance,current_balance,event_flags,case_status,is_ground_truth_anomaly,anomaly_type
NA-TXN-200001,AGENT-002,"Motijheel, Dhaka",2024-07-17T13:15:53Z,cash_out,10000,SUCCESS,150000,160000,,NONE,false,
NA-TXN-200002,AGENT-003,"Dhanmondi, Dhaka",2024-07-17T09:15:12Z,cash_out,25000,SUCCESS,100000,125000,,NONE,false,
NA-TXN-200003,AGENT-004,"Mirpur, Dhaka",2024-07-17T12:15:16Z,cash_in,15000,SUCCESS,110000,95000,,NONE,false,
NA-TXN-200004,AGENT-006,"Sadar, Mymensingh",2024-07-17T08:30:55Z,cash_out,1500,SUCCESS,75000,76500,,NONE,false,
NA-TXN-200005,AGENT-006,"Sadar, Mymensingh",2024-07-17T17:00:07Z,cash_out,500,SUCCESS,76500,77000,,NONE,false,
NA-TXN-200006,AGENT-007,"Sadar, Tangail",2024-07-17T18:30:50Z,cash_out,3000,SUCCESS,70000,73000,,NONE,false,
NA-TXN-200007,AGENT-008,"Chowrasta, Gazipur",2024-07-17T12:45:03Z,cash_in,10000,SUCCESS,95000,85000,,NONE,false,
NA-TXN-200008,AGENT-008,"Chowrasta, Gazipur",2024-07-17T19:45:52Z,cash_out,10000,SUCCESS,85000,95000,,NONE,false,
NA-TXN-200009,AGENT-001,"Gulshan, Dhaka",2024-07-18T14:00:50Z,cash_out,25000,SUCCESS,90000,115000,,NONE,false,
NA-TXN-200010,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T17:15:57Z,cash_in,10000,SUCCESS,125000,115000,,NONE,false,
NA-TXN-200011,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T13:30:44Z,cash_in,20000,SUCCESS,115000,95000,,NONE,false,
NA-TXN-200012,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T12:00:05Z,cash_out,5000,SUCCESS,95000,100000,,NONE,false,
NA-TXN-200013,AGENT-004,"Mirpur, Dhaka",2024-07-18T16:15:01Z,cash_out,500,SUCCESS,95000,95500,,NONE,false,
NA-TXN-200014,AGENT-004,"Mirpur, Dhaka",2024-07-18T15:45:39Z,cash_in,15000,SUCCESS,95500,80500,,NONE,false,
NA-TXN-200015,AGENT-006,"Sadar, Mymensingh",2024-07-18T18:00:56Z,cash_out,1500,SUCCESS,77000,78500,,NONE,false,
NA-TXN-200016,AGENT-006,"Sadar, Mymensingh",2024-07-18T22:15:07Z,cash_out,2000,SUCCESS,78500,80500,,NONE,false,
NA-TXN-200017,AGENT-007,"Sadar, Tangail",2024-07-18T12:30:51Z,cash_in,20000,SUCCESS,73000,53000,,NONE,false,
NA-TXN-200018,AGENT-007,"Sadar, Tangail",2024-07-18T23:15:38Z,cash_out,500,SUCCESS,53000,53500,,NONE,false,
NA-TXN-200019,AGENT-007,"Sadar, Tangail",2024-07-18T10:45:34Z,cash_out,1000,SUCCESS,53500,54500,,NONE,false,
NA-TXN-200020,AGENT-002,"Motijheel, Dhaka",2024-07-19T15:30:04Z,cash_out,8000,SUCCESS,160000,168000,,NONE,false,
NA-TXN-200021,AGENT-004,"Mirpur, Dhaka",2024-07-19T13:30:52Z,cash_out,3000,SUCCESS,80500,83500,,NONE,false,
NA-TXN-200022,AGENT-005,"Sreepur, Gazipur",2024-07-19T18:45:22Z,cash_out,1000,SUCCESS,80000,81000,,NONE,false,
NA-TXN-200023,AGENT-002,"Motijheel, Dhaka",2024-07-20T13:15:57Z,cash_out,10000,SUCCESS,168000,178000,,NONE,false,
NA-TXN-200024,AGENT-002,"Motijheel, Dhaka",2024-07-20T21:00:32Z,cash_out,8000,SUCCESS,178000,186000,,NONE,false,
NA-TXN-200025,AGENT-003,"Dhanmondi, Dhaka",2024-07-20T23:00:52Z,cash_out,15000,SUCCESS,100000,115000,,NONE,false,
NA-TXN-200026,AGENT-004,"Mirpur, Dhaka",2024-07-20T21:30:25Z,cash_in,3000,SUCCESS,83500,80500,,NONE,false,
NA-TXN-200027,AGENT-006,"Sadar, Mymensingh",2024-07-20T10:30:28Z,cash_out,1000,SUCCESS,80500,81500,,NONE,false,
NA-TXN-200028,AGENT-007,"Sadar, Tangail",2024-07-20T14:15:07Z,cash_out,8000,SUCCESS,54500,62500,,NONE,false,
NA-TXN-200029,AGENT-007,"Sadar, Tangail",2024-07-20T12:45:37Z,cash_in,5000,SUCCESS,62500,57500,,NONE,false,
NA-TXN-200030,AGENT-001,"Gulshan, Dhaka",2024-07-21T20:00:12Z,cash_out,15000,SUCCESS,115000,130000,,NONE,false,
NA-TXN-200031,AGENT-001,"Gulshan, Dhaka",2024-07-21T15:00:26Z,cash_in,15000,SUCCESS,130000,115000,,NONE,false,
NA-TXN-200032,AGENT-003,"Dhanmondi, Dhaka",2024-07-21T17:30:21Z,cash_out,3000,SUCCESS,115000,118000,,NONE,false,
NA-TXN-200033,AGENT-003,"Dhanmondi, Dhaka",2024-07-21T11:15:31Z,cash_out,5000,SUCCESS,118000,123000,,NONE,false,
NA-TXN-200034,AGENT-004,"Mirpur, Dhaka",2024-07-21T12:15:41Z,cash_out,10000,SUCCESS,80500,90500,,NONE,false,
NA-TXN-200035,AGENT-008,"Chowrasta, Gazipur",2024-07-21T10:45:10Z,cash_in,20000,SUCCESS,95000,75000,,NONE,false,
NA-TXN-200036,AGENT-008,"Chowrasta, Gazipur",2024-07-21T15:15:37Z,cash_out,500,SUCCESS,75000,75500,,NONE,false,
NA-TXN-200037,AGENT-001,"Gulshan, Dhaka",2024-07-22T21:00:43Z,cash_in,15000,SUCCESS,115000,100000,,NONE,false,
NA-TXN-200038,AGENT-003,"Dhanmondi, Dhaka",2024-07-22T11:15:12Z,cash_out,8000,SUCCESS,123000,131000,,NONE,false,
NA-TXN-200039,AGENT-004,"Mirpur, Dhaka",2024-07-22T14:30:08Z,cash_out,8000,SUCCESS,90500,98500,,NONE,false,
NA-TXN-200040,AGENT-005,"Sreepur, Gazipur",2024-07-22T08:45:06Z,cash_out,20000,SUCCESS,81000,101000,,NONE,false,
NA-TXN-200041,AGENT-005,"Sreepur, Gazipur",2024-07-22T19:15:50Z,cash_out,3000,SUCCESS,101000,104000,,NONE,false,
NA-TXN-200042,AGENT-007,"Sadar, Tangail",2024-07-22T16:45:56Z,cash_out,1000,SUCCESS,57500,58500,,NONE,false,
NA-TXN-200043,AGENT-008,"Chowrasta, Gazipur",2024-07-22T11:45:16Z,cash_out,15000,SUCCESS,75500,90500,,NONE,false,
NA-TXN-200044,AGENT-001,"Gulshan, Dhaka",2024-07-23T16:45:28Z,cash_out,15000,SUCCESS,100000,115000,,NONE,false,
NA-TXN-200045,AGENT-002,"Motijheel, Dhaka",2024-07-23T19:30:37Z,cash_in,1500,SUCCESS,186000,184500,,NONE,false,
NA-TXN-200046,AGENT-002,"Motijheel, Dhaka",2024-07-23T12:15:22Z,cash_out,25000,SUCCESS,184500,209500,,NONE,false,
NA-TXN-200047,AGENT-002,"Motijheel, Dhaka",2024-07-23T12:00:40Z,cash_in,500,SUCCESS,209500,209000,,NONE,false,
NA-TXN-200048,AGENT-003,"Dhanmondi, Dhaka",2024-07-23T08:15:46Z,cash_in,500,SUCCESS,131000,130500,,NONE,false,
NA-TXN-200049,AGENT-004,"Mirpur, Dhaka",2024-07-23T18:30:46Z,cash_out,1500,SUCCESS,98500,100000,,NONE,false,
NA-TXN-200050,AGENT-005,"Sreepur, Gazipur",2024-07-23T11:15:45Z,cash_in,8000,SUCCESS,104000,96000,,NONE,false,
NA-TXN-200051,AGENT-005,"Sreepur, Gazipur",2024-07-23T10:30:43Z,cash_out,10000,SUCCESS,96000,106000,,NONE,false,
NA-TXN-200052,AGENT-006,"Sadar, Mymensingh",2024-07-23T14:00:22Z,cash_in,2000,SUCCESS,81500,79500,,NONE,false,
NA-TXN-200053,AGENT-006,"Sadar, Mymensingh",2024-07-23T17:30:33Z,cash_in,2000,SUCCESS,79500,77500,,NONE,false,
NA-TXN-200054,AGENT-007,"Sadar, Tangail",2024-07-23T12:15:15Z,cash_out,1000,SUCCESS,58500,59500,,NONE,false,
NA-TXN-200055,AGENT-001,"Gulshan, Dhaka",2024-07-24T11:15:40Z,cash_out,5000,SUCCESS,115000,120000,,NONE,false,
NA-TXN-200056,AGENT-002,"Motijheel, Dhaka",2024-07-24T21:30:33Z,cash_in,10000,SUCCESS,209000,199000,,NONE,false,
NA-TXN-200057,AGENT-005,"Sreepur, Gazipur",2024-07-24T11:15:18Z,cash_out,1500,SUCCESS,106000,107500,,NONE,false,
NA-TXN-200058,AGENT-005,"Sreepur, Gazipur",2024-07-24T14:45:41Z,cash_in,2000,SUCCESS,107500,105500,,NONE,false,
NA-TXN-200059,AGENT-008,"Chowrasta, Gazipur",2024-07-24T16:00:05Z,cash_out,3000,SUCCESS,90500,93500,,NONE,false,
NA-TXN-200060,AGENT-001,"Gulshan, Dhaka",2024-07-25T14:00:00Z,cash_in,25000,SUCCESS,120000,95000,,NONE,false,
NA-TXN-200061,AGENT-001,"Gulshan, Dhaka",2024-07-25T11:30:08Z,cash_out,500,SUCCESS,95000,95500,,NONE,false,
NA-TXN-200062,AGENT-001,"Gulshan, Dhaka",2024-07-25T09:30:55Z,cash_out,500,SUCCESS,95500,96000,,NONE,false,
NA-TXN-200063,AGENT-002,"Motijheel, Dhaka",2024-07-25T00:00:17Z,cash_out,10000,SUCCESS,199000,209000,,NONE,false,
NA-TXN-200064,AGENT-003,"Dhanmondi, Dhaka",2024-07-25T20:30:34Z,cash_out,5000,SUCCESS,130500,135500,,NONE,false,
NA-TXN-200065,AGENT-003,"Dhanmondi, Dhaka",2024-07-25T08:30:04Z,cash_out,10000,SUCCESS,135500,145500,,NONE,false,
NA-TXN-200066,AGENT-006,"Sadar, Mymensingh",2024-07-25T11:30:44Z,cash_in,25000,SUCCESS,77500,52500,,NONE,false,
NA-TXN-200067,AGENT-008,"Chowrasta, Gazipur",2024-07-25T19:00:55Z,cash_in,2000,SUCCESS,93500,91500,,NONE,false,
NA-TXN-200068,AGENT-001,"Gulshan, Dhaka",2024-07-26T13:15:28Z,cash_in,5000,SUCCESS,96000,91000,,NONE,false,
NA-TXN-200069,AGENT-003,"Dhanmondi, Dhaka",2024-07-26T15:15:25Z,cash_in,10000,SUCCESS,145500,135500,,NONE,false,
NA-TXN-200070,AGENT-007,"Sadar, Tangail",2024-07-26T11:00:56Z,cash_out,1000,SUCCESS,59500,60500,,NONE,false,
NA-TXN-200071,AGENT-001,"Gulshan, Dhaka",2024-07-27T13:00:38Z,cash_in,1500,SUCCESS,91000,89500,,NONE,false,
NA-TXN-200072,AGENT-002,"Motijheel, Dhaka",2024-07-27T16:00:25Z,cash_out,10000,SUCCESS,209000,219000,,NONE,false,
NA-TXN-200073,AGENT-004,"Mirpur, Dhaka",2024-07-27T19:00:43Z,cash_in,5000,SUCCESS,100000,95000,,NONE,false,
NA-TXN-200074,AGENT-004,"Mirpur, Dhaka",2024-07-27T07:15:09Z,cash_out,1500,SUCCESS,95000,96500,,NONE,false,
NA-TXN-200075,AGENT-005,"Sreepur, Gazipur",2024-07-27T19:00:11Z,cash_out,8000,SUCCESS,105500,113500,,NONE,false,
NA-TXN-200076,AGENT-004,"Mirpur, Dhaka",2024-07-28T15:15:28Z,cash_out,25000,SUCCESS,96500,121500,,NONE,false,
NA-TXN-200077,AGENT-007,"Sadar, Tangail",2024-07-28T05:00:50Z,cash_out,2000,SUCCESS,60500,62500,,NONE,false,
NA-TXN-200078,AGENT-001,"Gulshan, Dhaka",2024-07-29T16:45:19Z,cash_out,5000,SUCCESS,89500,94500,,NONE,false,
NA-TXN-200079,AGENT-002,"Motijheel, Dhaka",2024-07-29T13:15:20Z,cash_out,1000,SUCCESS,219000,220000,,NONE,false,
NA-TXN-200080,AGENT-003,"Dhanmondi, Dhaka",2024-07-29T11:30:29Z,cash_in,1500,SUCCESS,135500,134000,,NONE,false,
NA-TXN-200081,AGENT-004,"Mirpur, Dhaka",2024-07-29T10:15:34Z,cash_out,1000,SUCCESS,121500,122500,,NONE,false,
NA-TXN-200082,AGENT-008,"Chowrasta, Gazipur",2024-07-29T01:00:09Z,cash_out,25000,SUCCESS,91500,116500,,NONE,false,
NA-TXN-200083,AGENT-001,"Gulshan, Dhaka",2024-07-30T17:30:36Z,cash_out,500,SUCCESS,94500,95000,,NONE,false,
