transaction_id,agent_id,area,timestamp,type,amount,status,opening_balance,current_balance,event_flags,case_status,is_ground_truth_anomaly,anomaly_type
RO-TXN-300001,AGENT-007,"Sadar, Tangail",2024-07-17T20:15:52Z,cash_out,20000,SUCCESS,35000,55000,,NONE,false,
RO-TXN-300002,AGENT-008,"Chowrasta, Gazipur",2024-07-17T10:45:17Z,cash_in,500,SUCCESS,55000,54500,,NONE,false,
RO-TXN-300003,AGENT-001,"Gulshan, Dhaka",2024-07-18T12:45:16Z,cash_out,1500,SUCCESS,50000,51500,,NONE,false,
RO-TXN-300004,AGENT-001,"Gulshan, Dhaka",2024-07-18T18:00:29Z,cash_out,3000,SUCCESS,51500,54500,,NONE,false,
RO-TXN-300005,AGENT-003,"Dhanmondi, Dhaka",2024-07-18T11:00:04Z,cash_out,25000,SUCCESS,60000,85000,,NONE,false,
RO-TXN-300006,AGENT-004,"Mirpur, Dhaka",2024-07-18T08:45:32Z,cash_out,500,SUCCESS,70000,70500,,NONE,false,
RO-TXN-300007,AGENT-005,"Sreepur, Gazipur",2024-07-18T14:15:44Z,cash_out,10000,SUCCESS,40000,50000,,NONE,false,
RO-TXN-300008,AGENT-006,"Sadar, Mymensingh",2024-07-18T16:30:16Z,cash_in,5000,SUCCESS,45000,40000,,NONE,false,
RO-TXN-300009,AGENT-008,"Chowrasta, Gazipur",2024-07-18T21:15:14Z,cash_in,1500,SUCCESS,54500,53000,,NONE,false,
RO-TXN-300010,AGENT-001,"Gulshan, Dhaka",2024-07-19T18:00:19Z,cash_in,2000,SUCCESS,54500,52500,,NONE,false,
RO-TXN-300011,AGENT-005,"Sreepur, Gazipur",2024-07-19T13:15:16Z,cash_in,15000,SUCCESS,50000,35000,,NONE,false,
RO-TXN-300012,AGENT-007,"Sadar, Tangail",2024-07-19T20:15:41Z,cash_out,1500,SUCCESS,55000,56500,,NONE,false,
RO-TXN-300013,AGENT-002,"Motijheel, Dhaka",2024-07-20T19:45:19Z,cash_in,1000,SUCCESS,80000,79000,,NONE,false,
RO-TXN-300014,AGENT-005,"Sreepur, Gazipur",2024-07-20T22:45:52Z,cash_out,15000,SUCCESS,35000,50000,,NONE,false,
RO-TXN-300015,AGENT-007,"Sadar, Tangail",2024-07-20T21:00:52Z,cash_in,500,SUCCESS,56500,56000,,NONE,false,
RO-TXN-300016,AGENT-008,"Chowrasta, Gazipur",2024-07-20T13:30:41Z,cash_out,20000,SUCCESS,53000,73000,,NONE,false,
RO-TXN-300017,AGENT-003,"Dhanmondi, Dhaka",2024-07-21T15:00:26Z,cash_out,20000,SUCCESS,85000,105000,,NONE,false,
RO-TXN-300018,AGENT-005,"Sreepur, Gazipur",2024-07-21T13:30:18Z,cash_in,20000,SUCCESS,50000,30000,,NONE,false,
RO-TXN-300019,AGENT-006,"Sadar, Mymensingh",2024-07-21T18:00:28Z,cash_out,10000,SUCCESS,40000,50000,,NONE,false,
RO-TXN-300020,AGENT-002,"Motijheel, Dhaka",2024-07-22T18:45:37Z,cash_out,10000,SUCCESS,79000,89000,,NONE,false,
RO-TXN-300021,AGENT-006,"Sadar, Mymensingh",2024-07-22T10:45:50Z,cash_out,1000,SUCCESS,50000,51000,,NONE,false,
RO-TXN-300022,AGENT-004,"Mirpur, Dhaka",2024-07-23T21:15:10Z,cash_in,3000,SUCCESS,70500,67500,,NONE,false,
RO-TXN-300023,AGENT-002,"Motijheel, Dhaka",2024-07-24T08:45:41Z,cash_out,5000,SUCCESS,89000,94000,,NONE,false,
RO-TXN-300024,AGENT-004,"Mirpur, Dhaka",2024-07-24T20:00:13Z,cash_out,3000,SUCCESS,67500,70500,,NONE,false,
RO-TXN-300025,AGENT-006,"Sadar, Mymensingh",2024-07-24T10:30:31Z,cash_out,10000,SUCCESS,51000,61000,,NONE,false,
RO-TXN-300026,AGENT-006,"Sadar, Mymensingh",2024-07-24T21:00:02Z,cash_out,8000,SUCCESS,61000,69000,,NONE,false,
RO-TXN-300027,AGENT-008,"Chowrasta, Gazipur",2024-07-24T18:00:11Z,cash_out,15000,SUCCESS,73000,88000,,NONE,false,
RO-TXN-300028,AGENT-001,"Gulshan, Dhaka",2024-07-25T13:45:37Z,cash_out,1500,SUCCESS,52500,54000,,NONE,false,
RO-TXN-300029,AGENT-002,"Motijheel, Dhaka",2024-07-25T20:00:44Z,cash_out,2000,SUCCESS,94000,96000,,NONE,false,
RO-TXN-300030,AGENT-003,"Dhanmondi, Dhaka",2024-07-25T18:15:23Z,cash_in,20000,SUCCESS,105000,85000,,NONE,false,
RO-TXN-300031,AGENT-003,"Dhanmondi, Dhaka",2024-07-25T23:15:06Z,cash_in,500,SUCCESS,85000,84500,,NONE,false,
RO-TXN-300032,AGENT-004,"Mirpur, Dhaka",2024-07-25T09:00:10Z,cash_in,8000,SUCCESS,70500,62500,,NONE,false,
RO-TXN-300033,AGENT-004,"Mirpur, Dhaka",2024-07-25T18:15:09Z,cash_in,2000,SUCCESS,62500,60500,,NONE,false,
RO-TXN-300034,AGENT-004,"Mirpur, Dhaka",2024-07-25T15:15:16Z,cash_out,500,SUCCESS,60500,61000,,NONE,false,
RO-TXN-300035,AGENT-006,"Sadar, Mymensingh",2024-07-25T11:00:43Z,cash_out,1000,SUCCESS,69000,70000,,NONE,false,
RO-TXN-300036,AGENT-008,"Chowrasta, Gazipur",2024-07-25T21:30:26Z,cash_out,20000,SUCCESS,88000,108000,,NONE,false,
RO-TXN-300037,AGENT-007,"Sadar, Tangail",2024-07-26T22:15:19Z,cash_in,5000,SUCCESS,56000,51000,,NONE,false,
RO-TXN-300038,AGENT-007,"Sadar, Tangail",2024-07-26T20:15:01Z,cash_out,500,SUCCESS,51000,51500,,NONE,false,
RO-TXN-300039,AGENT-001,"Gulshan, Dhaka",2024-07-27T17:15:52Z,cash_in,500,SUCCESS,54000,53500,,NONE,false,
RO-TXN-300040,AGENT-001,"Gulshan, Dhaka",2024-07-28T17:00:31Z,cash_in,3000,SUCCESS,53500,50500,,NONE,false,
RO-TXN-300041,AGENT-002,"Motijheel, Dhaka",2024-07-28T14:30:37Z,cash_in,1000,SUCCESS,96000,95000,,NONE,false,
RO-TXN-300042,AGENT-001,"Gulshan, Dhaka",2024-07-29T13:45:56Z,cash_out,15000,SUCCESS,50500,65500,,NONE,false,
RO-TXN-300043,AGENT-004,"Mirpur, Dhaka",2024-07-29T21:00:55Z,cash_in,15000,SUCCESS,61000,46000,,NONE,false,
